ID         交易年月  總價(含車)  單價(含車)  權狀   建坪
KFFBF87CA  14-10     2830(3230)  52(42)      77.2   54.6
JFFBF28CA  14-05     3108(3315)  55(49)      68.2   57.0
KFFBF97CA  14-12     3487(3938)  56(46)      85.9   61.9
JFFBF28CA  14-06     3026(3250)  54(48)      67.1   55.9
IFFBF47CA  13-01     3043(3443)  51(44)      79.0   59.6
MFFBF57CA  17-11     2150(2150)  38(38)      57.1   57.1
LFFBF47CA  16-01     4668(5068)  62(51)      98.6   74.9
JFFBF57CA  14-11     3325(3688)  54(43)      85.9   61.9
KFFBF87CA  15-11     3858(4068)  58(52)      78.7   66.8
OFFBF48CA  19-04     3140(3560)  44(37)      96.3   71.7
IFFBF08CA  13-01     2491(2671)  48(43)      61.8   52.0
OFFBF78CA  19-04     2710(2710)  38(38)      71.2   71.2
NFFBF88CA  18-07     2650(2650)  37(37)      71.2   71.2
IFFBF08CA  13-03     3263(3663)  50(43)      85.2   65.8
MFFBF28CA  16-11     4150(4650)  52(46)      101.9  79.3
OFFBF56CA  19-06     2476(2696)  43(39)      69.9   57.6
OFFBF68CA  19-11     2568(2988)  45(36)      82.1   57.6
OFFBF58CA  19-08     2541(2741)  45(40)      68.4   56.0
IFFBF28CA  13-01     2745(3035)  53(43)      71.2   51.8
JFFBF47CA  13-12     4198(4395)  58(52)      84.1   72.8
MFFBF87CA  17-04     2695(2865)  45(41)      70.7   59.8
OFFBF58CA  19-06     2490(2690)  43(38)      69.9   57.6
JFFBF67CA  14-11     3460(3873)  56(45)      85.6   61.7
OFFBF38CA  19-01     3073(3533)  42(36)      97.1   72.5
KFFBF28CA  15-03     2832(3045)  54(49)      62.1   52.4
OFFBF08CA  19-07     3330(3800)  46(39)      96.3   71.7
IFFBF97CA  13-10     2610(2610)  42(42)      61.8   61.8
KFFBF68CA  15-06     2958(3188)  50(46)      69.9   58.6
OFFBF09CA  19-03     2818(3058)  47(43)      71.2   59.4
IFFBF58CA  13-05     3235(3435)  53(52)      65.8   60.5
IFFBF17CA  13-08     2747(2927)  45(44)      66.3   61.1
OFFBF08CA  19-09     3408(3858)  45(39)      99.1   75.5
KFFBF77CA  14-07     3684(3904)  47(45)      86.9   78.1
OFFBF58CA  19-04     3230(3600)  45(37)      96.3   71.7
PFFBF48CA  19-12     2911(3371)  41(36)      94.4   70.2
PFFBF38DA  20-01     2600(2800)  44(39)      71.2   59.4
OFFBF68CA  19-04     3488(3718)  48(43)      86.8   72.3
NFFBF28DA  17-12     2790(3050)  50(45)      67.6   55.7
OFFBF68CA  19-02     2480(2710)  44(40)      68.5   56.3
NFFBF78CA  18-03     2800(2800)  39(39)      71.2   71.2
KFFBF38CA  15-11     3776(3988)  50(46)      87.5   75.7
IFFBF28CA  13-01     2445(2758)  44(37)      75.3   55.9
OFFBF88CA  19-02     2378(2598)  42(38)      69.2   56.9
JFFBF28CA  14-10     3168(3388)  58(51)      65.9   54.6
LFFBF48CA  15-12     3562(3792)  48(43)      88.4   73.9
IFFBF48CA  13-01     2355(2500)  45(41)      61.7   51.9
IFFBF68CA  13-05     3479(3839)  50(49)      79.0   70.0
IFFBF78CA  13-05     3602(3782)  51(50)      75.2   70.0
JFFBF88CA  14-04     3200(3420)  52(48)      70.6   61.7
LFFBF87CA  16-02     4100(4550)  61(50)      91.2   67.6
JFFBF77CA  14-03     3100(3310)  49(46)      72.6   63.8
JFFBF87CA  14-11     3423(3800)  55(44)      86.0   62.0
PFFBF09EA  20-06     2170(2550)  41(36)      71.8   52.3
IFFBF28CA  13-05     3270(3610)  53(51)      70.6   61.5
MFFBF98CA  17-04     4015(4475)  53(44)      101.9  75.7
IFFBF58CA  13-01     2464(2644)  48(43)      61.5   51.7
IFFBF77CA  13-01     2389(2729)  45(38)      72.1   52.7
PFFBF48DA  20-10     2430(2430)  34(34)      70.8   70.8
JFFBF87CA  14-10     2880(3090)  53(47)      65.9   54.6
JFFBF68CA  14-04     3150(3350)  51(47)      71.0   62.1
IFFBF78CA  13-05     3913(4273)  56(53)      80.4   70.0
IFFBF78CA  13-05     2631(2961)  51(41)      71.5   52.0
IFFBF88CA  13-05     3240(3600)  53(50)      72.0   61.5
IFFBF97CA  13-01     2689(3079)  51(43)      71.8   52.3
JFFBF97CA  14-02     4245(4659)  57(48)      96.3   73.9
NFFBF66CA  18-03     2728(2958)  47(42)      70.2   57.9
OFFBF56DA  19-10     2260(2700)  39(35)      77.5   58.1
IFFBF78CA  13-01     2550(2950)  49(41)      71.6   52.1
IFFBF98CA  13-05     3223(3573)  52(50)      71.8   62.1
KFFBF38CA  15-04     3718(4138)  60(48)      86.1   62.1
IFFBF08CA  13-02     3192(3632)  48(42)      85.5   66.1
PFFBF56DA  20-06     2475(2920)  43(36)      81.6   57.1
IFFBF48CA  13-01     3155(3545)  48(41)      85.5   66.1
IFFBF58CA  13-01     3183(3503)  48(41)      86.0   66.6
IFFBF98CA  13-06     3602(3752)  46(43)      87.9   78.2
IFFBF98CA  13-05     3493(3853)  50(49)      79.0   70.0
KFFBF98CA  15-11     3525(3885)  49(40)      98.1   72.3
IFFBF88CA  13-01     2735(3120)  53(44)      71.5   52.0
IFFBF98CA  13-01     2515(2935)  48(41)      71.7   52.2
