ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
NFFBF08CA  18-01     1165(1300)  44(32)      40.3  26.3
HFFBF28CA  12-08     1371(1371)  38(38)      36.2  36.2
JFFBF97CA  14-02     1310(1310)  38(38)      34.3  34.3
IFFBF97CA  13-03     1245(1245)  41(41)      30.2  30.2
MFFBF37CA  16-12     1425(1660)  45(37)      45.0  31.9
KFFBF17CA  15-08     1180(1180)  34(34)      34.6  34.6
KFFBF87CA  15-07     1055(1250)  50(40)      31.2  21.2
MFFBF18CA  17-06     907(907)    36(36)      25.4  25.4
IFFBF87CA  13-07     1349(1519)  45(41)      37.1  29.8
NFFBF48CA  18-02     1173(1298)  46(33)      39.5  25.5
HFFBF37CA  12-11     840(985)    44(41)      24.2  18.9
HFFBF18DA  12-08     1230(1350)  45(41)      33.3  27.1
PFFBF28DA  20-10     1316(1546)  49(40)      38.3  26.6
HFFBF57CA  12-12     915(915)    44(44)      20.9  20.9
MFFBF38CA  17-05     1330(1330)  34(34)      39.3  39.3
NFFBF68CA  18-02     1168(1168)  46(46)      25.5  25.5
IFFBF47CA  13-09     1290(1290)  38(38)      34.3  34.3
IFFBF67CA  12-12     1470(1660)  42(39)      42.2  34.6
IFFBF28CA  13-07     1036(1036)  45(45)      23.0  23.0
IFFBF08CA  13-05     1284(1434)  41(38)      37.5  31.1
JFFBF18CA  13-03     915(1075)   43(37)      29.1  21.4
LFFBF08CA  16-10     1390(1390)  44(44)      31.9  31.9
KFFBF58CA  15-05     1550(1550)  49(49)      31.9  31.9
MFFBF78CA  17-05     1315(1315)  39(39)      33.3  33.3
IFFBF28CA  13-04     1370(1530)  41(37)      41.2  33.6
KFFBF78CA  15-07     1505(1710)  47(40)      42.5  31.9
JFFBF37CA  13-04     1400(1400)  37(37)      37.9  37.9
MFFBF87CA  17-02     970(970)    35(35)      27.7  27.7
PFFBF68DA  20-07     1330(1330)  37(37)      36.1  36.1
IFFBF18DA  13-08     1115(1115)  46(46)      24.1  24.1
IFFBF37CA  13-09     1210(1210)  33(33)      36.9  36.9
PFFBF38CA  20-01     1768(2008)  46(38)      52.3  38.7
OFFBF18CA  19-02     1060(1060)  36(36)      29.8  29.8
PFFBF28CA  19-11     1270(1490)  45(36)      41.6  28.1
OFFBF88CA  19-06     1378(1598)  41(36)      44.8  33.3
JFFBF57CA  13-12     1800(1950)  47(41)      47.3  38.2
PFFBF18CA  19-11     1259(1479)  45(38)      39.0  28.1
PFFBF38DA  20-06     1116(1356)  42(35)      38.3  26.5
LFFBF48CA  16-07     1150(1330)  39(34)      39.3  29.2
IFFBF87CA  13-04     1377(1377)  41(41)      33.6  33.6
PFFBF78CA  20-02     1278(1478)  41(36)      40.8  31.0
IFFBF38CA  13-07     1480(1480)  39(39)      37.7  37.7
KFFBF58CA  15-06     894(894)    47(47)      19.1  19.1
OFFBF48CA  19-07     1375(1600)  41(36)      44.5  33.2
JFFBF18CA  13-04     1198(1358)  42(38)      36.1  28.5
LFFBF38CA  16-03     918(1153)   36(32)      35.9  25.3
IFFBF38CA  13-07     1349(1519)  43(40)      38.4  31.1
HFFBF58DA  12-08     1160(1345)  43(36)      37.4  27.1
HFFBF58DA  12-07     1680(1880)  43(37)      51.2  39.5
OFFBF68CA  19-01     1206(1406)  46(35)      40.5  26.2
PFFBF78DA  20-06     1565(1790)  51(40)      45.1  30.6
IFFBF67CA  13-11     1250(1250)  42(42)      30.0  30.0
IFFBF38CA  13-05     950(950)    45(45)      20.9  20.9
MFFBF77CA  17-11     985(1185)   39(33)      36.2  25.5
OFFBF97CA  19-11     1260(1470)  45(35)      41.6  28.1
IFFBF97CA  13-08     1348(1348)  43(43)      31.6  31.6
MFFBF77CA  17-01     980(1175)   40(32)      37.1  24.6
IFFBF47DA  13-09     1452(1452)  37(37)      39.3  39.3
PFFBF68DA  20-03     1270(1450)  43(37)      39.3  29.2
IFFBF28CA  13-08     1579(1579)  41(41)      38.4  38.4
KFFBF38CA  15-06     1155(1350)  45(38)      35.5  25.5
PFFBF68CA  19-06     986(1186)   42(36)      33.1  23.4
JFFBF08CA  13-03     830(990)    40(35)      28.5  20.9
IFFBF48CA  13-07     1695(1695)  44(44)      38.3  38.3
OFFBF58CA  19-02     1225(1435)  47(34)      42.0  26.2
HFFBF58CA  12-08     1370(1370)  38(38)      36.2  36.2
JFFBF97CA  13-12     1005(1220)  47(40)      30.3  21.4
LFFBF48CA  16-11     1023(1238)  42(33)      37.7  24.6
JFFBF48CA  13-06     1012(1012)  47(47)      21.4  21.4
OFFBF98CA  19-04     1120(1350)  43(32)      42.0  26.2
LFFBF98CA  16-06     1137(1362)  45(38)      36.2  25.5
PFFBF48CA  20-05     1748(1978)  45(38)      52.3  38.7
PFFBF48CA  20-05     1319(1529)  43(38)      40.0  31.0
IFFBF47CA  13-10     1550(1550)  46(46)      33.6  33.6
LFFBF77CA  15-12     1250(1250)  34(34)      36.8  36.8
PFFBF88DA  20-06     1338(1558)  43(38)      40.8  31.0
JFFBF08CA  13-03     778(938)    37(33)      28.5  20.9
KFFBF38CA  15-06     1025(1230)  48(39)      31.9  21.2
HFFBF38CA  12-08     1355(1355)  38(38)      35.8  35.8
JFFBF48CA  14-08     1412(1412)  42(42)      33.3  33.3
PFFBF66DA  20-07     1080(1260)  39(35)      36.2  27.4
LFFBF78CA  16-07     1080(1080)  42(42)      25.5  25.5
PFFBF68CA  20-01     1030(1030)  43(43)      24.1  24.1
NFFBF98CA  18-05     982(982)    41(41)      24.1  24.1
HFFBF77CA  12-10     1347(1512)  39(32)      47.2  34.6
PFFBF78CA  20-01     1400(1600)  50(38)      41.6  28.1
JFFBF28CA  13-03     899(1034)   43(36)      28.5  20.9
PFFBF58CA  19-07     1375(1595)  41(36)      44.8  33.3
IFFBF08CA  13-02     1571(1751)  44(39)      44.6  35.6
HFFBF68CA  12-08     1356(1356)  37(37)      37.0  37.0
PFFBF58CA  20-05     1755(1985)  45(38)      52.3  38.7
PFFBF58DA  20-03     1430(1630)  37(33)      48.8  39.0
IFFBF87CA  13-05     1352(1572)  42(39)      40.2  32.0
IFFBF08CA  13-05     1240(1240)  41(41)      30.4  30.4
PFFBF78CA  19-09     1255(1465)  40(36)      40.8  31.0
IFFBF18CA  13-04     1440(1650)  43(40)      40.8  33.3
LFFBF97CA  16-06     1053(1288)  41(35)      36.6  26.0
NFFBF38CA  18-09     1410(1615)  45(40)      40.3  31.2
PFFBF88DA  20-11     1538(1763)  50(39)      45.2  30.7
HFFBF68CA  12-08     1196(1196)  32(32)      37.7  37.7
JFFBF58CA  13-03     1250(1250)  44(44)      28.5  28.5
HFFBF28DA  12-08     1175(1295)  43(39)      33.5  27.3
MFFBF68CA  17-08     945(1150)   38(31)      37.7  24.6
KFFBF77CA  15-08     1650(1845)  43(38)      48.6  38.6
OFFBF68CA  19-12     1720(1950)  44(37)      52.3  38.7
PFFBF98CA  19-03     967(967)    42(42)      22.8  22.8
HFFBF78CA  12-08     1335(1335)  37(37)      36.2  36.2
PFFBF09CA  20-01     1100(1100)  42(42)      26.0  26.0
IFFBF48CA  13-02     1578(1758)  44(39)      44.6  35.6
PFFBF37DA  20-08     1175(1300)  51(39)      33.0  23.2
MFFBF58CA  17-05     940(1145)   38(30)      37.7  24.6
JFFBF18CA  14-01     1240(1240)  40(40)      31.0  31.0
OFFBF76CA  19-07     1838(2068)  47(37)      55.2  39.4
JFFBF58CA  13-06     975(975)    47(47)      20.9  20.9
JFFBF88CA  14-06     1270(1270)  41(41)      31.0  31.0
HFFBF88CA  12-08     1320(1320)  36(36)      36.2  36.2
MFFBF38CA  17-10     1300(1300)  43(43)      30.2  30.2
IFFBF18CA  13-04     1456(1576)  47(42)      37.1  30.7
IFFBF87CA  13-10     1616(1616)  43(43)      37.7  37.7
JFFBF48CA  14-06     1880(2080)  52(49)      42.5  36.0
KFFBF58CA  15-05     1790(1790)  46(46)      39.0  39.0
LFFBF18CA  15-11     1050(1265)  41(35)      36.2  25.5
JFFBF28CA  13-08     1168(1168)  40(40)      29.1  29.1
IFFBF48CA  13-10     1708(1903)  44(39)      49.4  39.2
PFFBF07CA  20-05     1164(1164)  51(51)      22.7  22.7
OFFBF88CA  18-11     1145(1335)  44(33)      40.5  26.2
IFFBF28CA  13-04     1324(1474)  44(41)      36.2  29.8
IFFBF09CA  13-05     954(1154)   46(40)      29.1  20.9
PFFBF47DA  20-06     986(1186)   43(36)      33.0  23.2
KFFBF08DA  15-05     1460(1460)  42(42)      34.5  34.5
OFFBF38CA  19-08     1833(2053)  47(37)      55.2  39.4
PFFBF58EA  20-07     1420(1650)  42(37)      45.2  34.0
PFFBF77DA  19-11     1370(1550)  46(42)      37.1  29.8
OFFBF87CA  19-11     1128(1128)  38(38)      29.8  29.8
HFFBF27CA  12-11     1025(1025)  43(43)      24.1  24.1
MFFBF38CA  17-07     885(1100)   38(30)      36.1  23.6
NFFBF48CA  18-01     1165(1300)  45(32)      40.1  26.1
NFFBF08CA  18-04     1400(1400)  39(39)      36.2  36.2
PFFBF08DA  20-09     1500(1500)  40(40)      37.5  37.5
JFFBF87DA  14-02     700(700)    35(35)      19.9  19.9
KFFBF38CA  15-06     1040(1245)  49(39)      31.9  21.2
NFFBF68CA  18-03     1266(1266)  49(49)      26.1  26.1
OFFBF18CA  19-10     1320(1320)  40(40)      33.3  33.3
NFFBF18CA  18-09     1420(1610)  46(40)      40.3  31.2
OFFBF38DA  19-10     1050(1250)  43(36)      34.3  24.2
PFFBF68CA  20-03     1340(1560)  38(34)      46.4  34.9
PFFBF78CA  19-11     965(1165)   42(35)      33.0  23.2
HFFBF38CA  12-08     1340(1340)  37(37)      36.2  36.2
JFFBF68CA  14-07     1915(2120)  49(43)      49.4  39.2
NFFBF77CA  18-10     1325(1530)  42(38)      40.3  31.2
PFFBF68EA  20-07     1300(1300)  38(38)      34.3  34.3
HFFBF07CA  12-10     1312(1487)  38(32)      47.2  34.6
KFFBF47CA  14-12     1765(1960)  45(40)      49.4  39.2
MFFBF67CA  16-11     955(955)    39(39)      24.6  24.6
HFFBF27CA  12-07     1020(1190)  49(42)      28.5  20.9
LFFBF87DA  16-01     1210(1210)  35(35)      34.5  34.5
NFFBF58CA  18-04     950(1110)   45(32)      34.9  20.9
HFFBF47CA  12-10     1598(1743)  40(39)      44.8  39.5
IFFBF87EA  13-11     1200(1200)  37(37)      32.1  32.1
PFFBF28CA  19-11     1220(1450)  47(39)      37.5  25.9
PFFBF58CA  20-04     1310(1310)  36(36)      36.0  36.0
KFFBF48CA  15-06     950(950)    45(45)      20.9  20.9
IFFBF08CA  13-05     1540(1540)  45(45)      34.6  34.6
IFFBF18CA  13-05     1324(1489)  41(38)      39.3  32.0
JFFBF28CA  13-05     958(1128)   45(39)      29.0  21.4
LFFBF68CA  16-07     1048(1263)  41(35)      36.2  25.5
KFFBF68CA  15-06     1130(1335)  44(37)      36.2  25.5
MFFBF48CA  17-02     1500(1720)  42(34)      50.4  35.9
OFFBF68CA  19-04     1275(1485)  49(35)      42.0  26.2
PFFBF88CA  19-05     1300(1500)  42(37)      40.8  31.0
JFFBF58CA  13-09     1163(1248)  41(35)      36.1  28.5
HFFBF48CA  12-08     1412(1412)  37(37)      38.1  38.1
KFFBF68CA  15-05     1557(1762)  49(41)      42.5  31.9
IFFBF38CA  13-04     1378(1558)  41(37)      41.8  33.6
IFFBF07CA  12-10     1410(1600)  40(34)      46.9  35.0
MFFBF87CA  17-04     1303(1528)  41(34)      45.0  31.9
JFFBF47CA  13-05     1478(1478)  39(39)      37.9  37.9
LFFBF67CA  16-10     1072(1072)  42(42)      25.5  25.5
IFFBF37CA  13-11     1168(1338)  43(40)      33.5  27.3
MFFBF77CA  16-12     955(1170)   40(32)      36.1  23.6
JFFBF57CA  13-10     1242(1242)  41(41)      30.3  30.3
PFFBF28CA  19-12     1406(1626)  50(39)      41.6  28.1
PFFBF78DA  20-07     610(970)    36(27)      36.6  17.0
HFFBF37CA  12-09     1390(1565)  42(38)      40.8  33.3
HFFBF37DA  12-09     1390(1570)  41(34)      45.7  34.0
PFFBF88DA  20-05     1776(1986)  46(38)      52.3  38.7
KFFBF48DA  15-04     1510(1510)  40(40)      37.4  37.4
JFFBF77CA  13-12     1695(1910)  43(39)      49.4  39.2
IFFBF48CA  13-07     1500(1500)  40(40)      37.7  37.7
IFFBF48DA  13-05     1220(1220)  36(36)      33.7  33.7
KFFBF68CA  15-06     1493(1698)  47(40)      42.5  31.9
LFFBF88DA  16-07     1108(1108)  32(32)      34.3  34.3
KFFBF58CA  15-05     1220(1415)  47(39)      36.0  26.0
HFFBF58CA  12-08     1335(1335)  37(37)      36.2  36.2
JFFBF18CA  14-10     1770(1975)  45(40)      49.4  39.2
PFFBF88DA  20-11     1330(1330)  36(36)      36.8  36.8
KFFBF18CA  15-07     1100(1100)  52(52)      21.2  21.2
HFFBF27CA  12-09     1285(1285)  39(39)      33.3  33.3
MFFBF97CA  17-03     985(1200)   42(33)      36.8  23.6
IFFBF77CA  13-05     929(929)    44(44)      20.9  20.9
PFFBF18CA  19-11     1728(1938)  45(37)      52.3  38.7
MFFBF08CA  17-02     1400(1615)  42(34)      47.9  33.3
