ID         交易年月  總價(含車)    單價(含車)  權狀   建坪 
IFFBF66CA  13-05     4800(5160)    53(51)      101.3  90.8 
LFFBF77CA  15-12     7260(7950)    55(50)      158.5  132.0
JFFBF97CA  13-11     5733(6228)    36(34)      181.1  158.8
KFFBF28CA  14-12     3630(3630)    37(37)      97.4   97.4 
IFFBF77CA  13-02     5267(5857)    51(44)      132.9  103.7
IFFBF58CA  13-06     5338(5698)    57(55)      104.1  93.6 
IFFBF87CA  13-05     4328(4838)    46(45)      107.7  94.1 
OFFBF58CA  19-04     3600(3600)    42(42)      85.2   85.2 
LFFBF18CA  16-03     3500(3500)    43(43)      81.9   81.9 
IFFBF48CA  13-07     3766(3766)    44(44)      85.5   85.5 
KFFBF08CA  15-06     6136(6796)    58(51)      133.2  106.7
PFFBF76DA  20-04     8880(9795)    63(53)      186.3  141.0
LFFBF38CA  16-08     3100(3100)    38(38)      81.2   81.2 
MFFBF48CA  17-08     3952(4472)    48(40)      111.5  82.4 
JFFBF38CA  13-12     5983(6538)    38(36)      181.1  158.8
MFFBF08CA  17-01     7917(7917)    43(43)      186.0  186.0
KFFBF97CA  13-12     4084(4294)    47(45)      96.1   87.3 
KFFBF08CA  14-12     3840(3840)    39(39)      99.1   99.1 
LFFBF48CA  15-11     7789(8449)    52(48)      176.3  149.8
JFFBF67CA  14-10     6748(7296)    61(50)      146.6  109.9
JFFBF28CA  14-03     6750(7264)    61(50)      146.6  109.9
LFFBF58CA  15-12     8175(8805)    55(50)      175.2  148.7
IFFBF08CA  13-02     3862(4292)    48(43)      99.9   80.4 
PFFBF68CA  19-10     8673(9573)    61(51)      186.4  141.1
PFFBF66CA  20-02     3000(3000)    35(35)      85.0   85.0 
OFFBF86CA  19-05     3628(3868)    44(40)      97.2   82.7 
PFFBF96CA  20-02     5800(5800)    42(42)      138.8  138.8
JFFBF58CA  13-12     6163(6748)    39(37)      181.1  158.8
JFFBF38CA  14-12     4707(5187)    57(46)      111.8  82.7 
KFFBF58CA  14-12     3415(3415)    36(36)      96.0   96.0 
KFFBF78EA  14-12     3500(3500)    39(39)      89.6   89.6 
PFFBF27DA  20-05     8773(9968)    62(50)      197.8  141.1
NFFBF17CA  17-11     4769(5499)    52(43)      127.7  90.9 
IFFBF76CA  13-05     4880(5250)    51(50)      104.5  94.8 
JFFBF28CA  13-12     6691(7420)    61(51)      146.6  109.9
KFFBF38CA  14-12     3379(3379)    40(40)      83.5   83.5 
JFFBF87CA  14-12     4309(4309)    43(43)      99.1   99.1 
PFFBF38CA  20-02     5520(6420)    56(39)      164.1  98.4 
MFFBF97CA  16-11     3370(3370)    39(39)      86.4   86.4 
IFFBF48CA  13-11     4520(4880)    48(48)      102.7  93.7 
LFFBF88CA  16-12     3875(4360)    46(39)      112.9  83.8 
IFFBF98CA  13-05     5220(5600)    56(55)      102.6  93.6 
OFFBF38CA  18-12     7013(7888)    56(46)      171.3  126.0
JFFBF97CA  14-12     3784(3784)    40(40)      95.0   95.0 
KFFBF18CA  14-12     6034(6034)    47(47)      127.4  127.4
JFFBF97CA  13-09     7277(8000)    62(53)      151.4  117.8
KFFBF18CA  14-04     4000(4200)    50(47)      89.0   80.2 
KFFBF38CA  15-02     5502(5970)    60(52)      115.7  91.2 
KFFBF78CA  15-02     6320(7228)    58(46)      157.7  108.7
IFFBF68CA  13-03     4293(4693)    49(44)      107.0  87.6 
JFFBF77CA  13-11     6710(7100)    62(53)      133.4  108.9
OFFBF66DA  19-06     4630(5200)    45(37)      139.0  102.2
KFFBF28CA  14-07     6638(7328)    62(55)      133.2  106.7
PFFBF09CA  19-11     3770(4000)    46(41)      97.2   82.6 
JFFBF09DA  14-03     6273(6888)    40(38)      181.0  158.7
NFFBF17CA  18-06     3900(3900)    37(37)      104.5  104.5
PFFBF47EA  20-05     3260(3260)    35(35)      93.2   93.2 
PFFBF96DA  20-07     4400(4400)    43(43)      101.9  101.9
JFFBF68CA  14-07     4700(5150)    50(46)      111.3  93.6 
IFFBF76CA  13-05     5491(6001)    59(55)      109.3  93.6 
IFFBF98CA  13-10     8811(9491)    59(52)      183.6  148.3
JFFBF56CA  13-12     5553(6108)    35(34)      181.0  158.7
NFFBF48CA  18-05     3550(3550)    36(36)      98.4   98.4 
KFFBF48CA  15-03     4780(5200)    51(46)      112.1  94.5 
PFFBF09DA  20-11     8860(9400)    55(47)      198.5  161.8
JFFBF18CA  13-11     5645(6200)    36(34)      181.1  158.8
JFFBF56CA  14-08     6820(7550)    58(50)      151.4  117.8
KFFBF98CA  15-04     3968(3968)    47(47)      85.2   85.2 
KFFBF97CA  14-12     3976(3976)    40(40)      98.2   98.2 
MFFBF48CA  17-03     5510(6410)    56(39)      164.1  98.4 
LFFBF08CA  15-09     4250(4680)    45(42)      112.1  94.5 
LFFBF58CA  16-05     3872(4102)    47(42)      97.2   82.7 
MFFBF28CA  17-01     5183(5183)    39(39)      131.3  131.3
KFFBF78CA  15-08     6443(7058)    41(39)      181.0  158.7
JFFBF88CA  14-03     6868(7566)    63(52)      146.4  109.7
JFFBF78CA  14-06     6791(7400)    62(51)      146.4  109.6
LFFBF78CA  16-01     7069(7959)    55(49)      163.9  128.6
OFFBF78CA  19-08     3644(3904)    44(40)      97.2   82.6 
IFFBF78CA  13-07     4540(4880)    49(48)      101.5  92.4 
PFFBF17DA  20-06     3168(3168)    38(38)      83.3   83.3 
OFFBF56CA  19-02     7884(8580)    62(54)      160.2  126.2
NFFBF76DA  18-04     3470(3470)    37(37)      93.2   93.2 
IFFBF38CA  13-09     4930(5150)    53(51)      100.2  93.7 
IFFBF96CA  13-01     4510(4830)    47(42)      116.0  96.6 
PFFBF27EA  20-07     3614(3834)    43(39)      97.9   83.4 
KFFBF58CA  14-12     3635(3635)    37(37)      97.4   97.4 
IFFBF28CA  13-05     5140(5570)    55(53)      105.4  93.6 
PFFBF66DA  20-06     8695(9623)    62(52)      186.4  141.1
KFFBF68CA  15-03     3150(3150)    39(39)      81.7   81.7 
KFFBF38CA  14-12     3607(3607)    37(37)      96.9   96.9 
MFFBF18CA  17-08     5100(5100)    58(58)      87.3   87.3 
LFFBF88CA  16-04     3970(4230)    48(44)      97.2   82.6 
LFFBF66CA  16-06     3792(3792)    40(40)      94.4   94.4 
PFFBF47DA  20-07     7761(8466)    55(48)      175.1  141.1
NFFBF07CA  18-02     4780(5410)    47(39)      137.8  101.1
IFFBF66CA  13-05     4995(5355)    53(52)      103.8  94.8 
IFFBF87CA  13-08     5110(5500)    55(53)      103.3  93.6 
KFFBF48CA  14-06     4790(5000)    56(53)      94.1   85.3 
IFFBF38CA  13-11     4672(5062)    50(49)      103.3  93.6 
LFFBF86CA  16-06     4500(4500)    40(40)      112.1  112.1
