ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
JFFBF38CA  14-04     2048(2218)  47(38)      57.7  43.3
LFFBF18CA  15-12     1685(1900)  41(37)      51.5  40.9
HFFBF58CA  12-08     1370(1370)  38(38)      36.2  36.2
KFFBF18CA  15-06     1788(2038)  44(40)      50.5  40.9
OFFBF78CA  19-02     1715(1935)  42(34)      56.2  40.4
PFFBF98DA  20-02     1970(2350)  42(33)      71.1  47.0
LFFBF57CA  16-09     1714(1714)  37(37)      46.2  46.2
PFFBF48CA  20-05     1748(1978)  45(38)      52.3  38.7
PFFBF28EA  20-11     1836(2036)  44(36)      57.2  41.9
PFFBF48CA  20-05     1319(1529)  43(38)      40.0  31.0
JFFBF87CA  14-05     2210(2380)  51(41)      57.7  43.3
JFFBF08CA  14-06     2091(2261)  48(39)      57.7  43.3
IFFBF47CA  13-10     1550(1550)  46(46)      33.6  33.6
IFFBF57CA  13-02     1595(1820)  39(36)      50.1  41.3
LFFBF77CA  15-12     1250(1250)  34(34)      36.8  36.8
PFFBF88DA  20-06     1338(1558)  43(38)      40.8  31.0
LFFBF08CA  16-11     1764(1989)  41(35)      56.5  43.4
HFFBF38CA  12-08     1355(1355)  38(38)      35.8  35.8
PFFBF38CA  19-08     1750(1950)  43(36)      54.6  40.4
JFFBF48CA  14-08     1412(1412)  42(42)      33.3  33.3
OFFBF88CA  19-05     1450(1450)  36(36)      40.5  40.5
JFFBF48CA  14-06     2200(2200)  45(45)      48.4  48.4
OFFBF38CA  19-08     1767(1977)  44(35)      56.2  40.4
HFFBF77CA  12-10     1347(1512)  39(32)      47.2  34.6
PFFBF76EA  20-07     1390(1390)  34(34)      40.3  40.3
PFFBF58CA  19-07     1375(1595)  41(36)      44.8  33.3
IFFBF08CA  13-02     1571(1751)  44(39)      44.6  35.6
HFFBF68CA  12-08     1356(1356)  37(37)      37.0  37.0
HFFBF08CA  12-10     1829(2009)  41(35)      57.3  44.6
KFFBF67CA  15-08     2307(2487)  47(41)      61.2  49.5
PFFBF58CA  20-05     1755(1985)  45(38)      52.3  38.7
PFFBF58DA  20-03     1430(1630)  37(33)      48.8  39.0
IFFBF87CA  13-05     1352(1572)  42(39)      40.2  32.0
IFFBF08CA  13-05     1240(1240)  41(41)      30.4  30.4
PFFBF78CA  19-09     1255(1465)  40(36)      40.8  31.0
IFFBF18CA  13-04     1440(1650)  43(40)      40.8  33.3
JFFBF68CA  14-06     2300(2300)  48(48)      48.4  48.4
NFFBF38CA  18-09     1410(1615)  45(40)      40.3  31.2
IFFBF28CA  13-04     1848(2033)  44(36)      57.2  41.9
PFFBF88DA  20-11     1538(1763)  50(39)      45.2  30.7
HFFBF68CA  12-08     1196(1196)  32(32)      37.7  37.7
OFFBF78CA  18-12     1745(1955)  43(35)      56.2  40.4
HFFBF18CA  12-10     1695(1695)  36(36)      47.6  47.6
OFFBF76CA  19-05     1500(1500)  32(32)      47.6  47.6
PFFBF56DA  20-04     2100(2295)  43(37)      61.5  49.2
KFFBF77CA  15-08     1650(1845)  43(38)      48.6  38.6
KFFBF38CA  15-05     1863(2068)  45(40)      51.7  41.0
IFFBF08CA  13-03     1764(1964)  42(37)      52.5  42.2
OFFBF48DA  19-09     1650(1850)  41(37)      50.3  40.0
OFFBF68CA  19-12     1720(1950)  44(37)      52.3  38.7
JFFBF18CA  14-11     1785(2000)  44(39)      50.8  40.6
IFFBF08CA  13-01     1858(1988)  45(35)      57.0  41.7
