ID         交易年月  總價(含車)  單價(含車)  權狀   建坪 
IFFBF18CA  12-12     3000(3000)  31(31)      95.4   95.4 
OFFBF38CA  18-12     3140(3570)  37(34)      104.0  84.9 
PFFBF58DA  20-11     3884(3884)  40(40)      96.2   96.2 
KFFBF38CA  15-03     3977(4607)  48(38)      120.4  82.8 
MFFBF98CA  17-03     3880(4450)  46(37)      121.1  83.5 
LFFBF78CA  16-11     2970(2970)  34(34)      87.8   87.8 
LFFBF48CA  15-12     3580(4000)  36(35)      115.7  99.2 
NFFBF08CA  18-08     3350(3800)  39(36)      105.1  85.3 
JFFBF38CA  14-05     3780(3780)  47(47)      80.5   80.5 
LFFBF08CA  16-09     3275(3735)  40(37)      100.7  82.9 
NFFBF66EA  18-05     3639(4084)  44(39)      105.1  82.3 
MFFBF68CA  17-06     3486(3836)  41(37)      104.0  84.9 
MFFBF78CA  16-12     3258(3258)  32(32)      100.8  100.8
OFFBF07CA  19-02     3060(3490)  37(34)      102.8  83.7 
IFFBF37CA  13-02     2980(2980)  37(37)      80.1   80.1 
LFFBF47CA  16-09     3490(4060)  42(34)      121.1  83.5 
KFFBF47CA  15-10     3268(3268)  38(38)      86.5   86.5 
LFFBF08CA  16-05     2850(2850)  34(34)      84.3   84.3 
OFFBF38CA  19-04     3554(4244)  43(35)      121.2  83.6 
MFFBF67CA  16-12     3300(3300)  32(32)      104.5  104.5
LFFBF28CA  16-05     3070(3490)  37(34)      101.2  83.4 
JFFBF47CA  14-08     4010(4640)  48(39)      120.3  82.7 
LFFBF87CA  16-09     4380(4760)  42(37)      129.1  104.1
IFFBF97CA  12-12     3610(3980)  43(37)      107.2  83.0 
OFFBF48CA  19-03     3140(3500)  38(35)      100.7  82.9 
LFFBF18CA  16-02     3250(3250)  39(39)      84.3   84.3 
JFFBF48CA  14-07     3900(4500)  47(37)      120.3  82.7 
KFFBF97CA  15-01     5053(5683)  49(40)      141.7  104.1
PFFBF58CA  20-01     2868(2868)  35(35)      83.1   83.1 
KFFBF38CA  15-03     3768(4338)  46(36)      120.4  82.8 
LFFBF78CA  16-05     3100(3100)  34(34)      89.9   89.9 
MFFBF68CA  17-11     3750(4200)  44(40)      105.0  85.1 
IFFBF77CA  13-03     3500(3500)  39(39)      90.3   90.3 
JFFBF37CA  14-09     4030(4600)  48(38)      121.1  83.5 
JFFBF87CA  14-04     3300(3300)  39(39)      84.8   84.8 
JFFBF47CA  13-12     3300(3300)  39(39)      84.8   84.8 
KFFBF67CA  15-01     3796(4236)  38(36)      117.8  100.0
NFFBF68CA  18-07     2700(2700)  33(33)      82.9   82.9 
NFFBF78EA  18-06     3375(3590)  41(38)      93.7   82.3 
MFFBF87CA  16-11     3648(4308)  44(36)      121.2  83.6 
OFFBF58CA  19-01     4550(4850)  36(30)      163.0  126.4
KFFBF48CA  15-05     5144(5774)  49(41)      141.7  104.1
MFFBF28CA  17-09     3366(3796)  34(33)      115.8  98.7 
MFFBF09CA  17-05     3715(4145)  38(36)      116.2  99.0 
