ID         交易年月  總價(含車)  單價(含車)  權狀   建坪
IFFBF58CA  13-05     2661(2920)  44(36)      82.0   60.3
KFFBF18CA  14-11     2650(3000)  49(40)      74.1   54.2
KFFBF48CA  14-03     3198(3558)  46(39)      91.4   69.4
HFFBF08CA  12-11     2450(2820)  41(35)      81.3   59.6
JFFBF87CA  14-02     2875(3090)  49(43)      71.5   59.1
NFFBF77CA  18-07     3390(3600)  44(41)      87.2   77.2
JFFBF97CA  14-05     2683(2868)  51(42)      67.5   53.1
JFFBF97CA  14-02     3352(3712)  50(40)      92.2   67.2
JFFBF28CA  14-06     2256(2391)  42(35)      67.6   53.2
KFFBF67CA  14-07     3100(3495)  46(39)      88.8   66.8
JFFBF28CA  14-05     2630(2800)  50(41)      67.5   53.1
HFFBF67CA  12-10     3075(3075)  48(48)      64.0   64.0
IFFBF87CA  13-01     2750(2750)  35(35)      77.8   77.8
MFFBF58CA  17-03     2910(3370)  48(40)      85.0   60.5
OFFBF98CA  19-05     2540(2690)  41(37)      72.6   62.3
NFFBF09CA  18-07     2740(2970)  37(34)      87.8   74.8
NFFBF48CA  17-12     1820(1820)  32(32)      56.1   56.1
IFFBF58CA  13-05     2722(3092)  51(41)      75.5   53.8
KFFBF48CA  15-02     3376(3816)  46(39)      96.6   73.6
JFFBF38CA  14-05     2229(2379)  43(36)      66.5   52.1
NFFBF56CA  18-06     2450(2450)  32(32)      75.5   75.5
LFFBF08CA  16-04     2800(2990)  48(43)      70.0   57.8
JFFBF97CA  14-02     2649(3009)  46(37)      82.3   57.4
IFFBF97CA  13-03     2699(2929)  47(45)      65.6   58.0
JFFBF08CA  14-02     3200(3620)  48(39)      92.2   67.2
PFFBF09DA  20-05     2615(2795)  43(38)      73.0   60.7
IFFBF87CA  13-09     3117(3327)  45(39)      84.8   68.7
JFFBF38CA  14-06     2416(2416)  37(37)      65.8   65.8
PFFBF78CA  20-02     2575(2735)  41(38)      72.6   62.3
PFFBF98CA  20-02     2295(2460)  41(37)      66.3   56.0
IFFBF68CA  13-06     2700(2850)  48(42)      67.5   56.7
IFFBF38CA  13-10     2581(2786)  44(42)      66.8   59.2
IFFBF68CA  13-04     2789(3074)  46(37)      83.5   60.1
JFFBF88CA  14-06     2282(2417)  43(36)      67.6   53.2
LFFBF09CA  16-06     2958(3178)  44(41)      76.6   66.6
KFFBF76CA  15-07     3482(3922)  52(43)      91.4   66.8
OFFBF78CA  19-05     2900(3060)  40(36)      85.4   73.3
IFFBF18CA  13-02     2172(2352)  41(39)      60.2   52.4
PFFBF09DA  20-05     2362(2762)  38(32)      86.0   61.9
HFFBF87CA  12-10     3111(3111)  49(49)      64.0   64.0
MFFBF38CA  16-12     2190(2190)  37(37)      59.3   59.3
IFFBF09CA  13-05     2868(3068)  48(38)      81.5   59.9
IFFBF48CA  13-09     2880(3300)  42(33)      98.6   68.8
PFFBF17DA  20-05     3005(3445)  40(34)      101.0  75.8
OFFBF07CA  19-06     2751(3171)  42(36)      87.4   65.2
JFFBF28CA  13-04     2560(2560)  42(42)      61.6   61.6
IFFBF58CA  13-04     2432(2622)  47(43)      60.5   51.5
KFFBF67CA  15-06     2790(3100)  46(38)      82.4   60.8
NFFBF37CA  18-08     2028(2028)  36(36)      56.9   56.9
IFFBF07CA  13-01     2671(2881)  46(44)      65.6   58.0
JFFBF37DA  14-02     1638(1638)  32(32)      51.5   51.5
HFFBF57DA  12-08     2200(2370)  43(38)      62.7   51.0
MFFBF37CA  17-09     2368(2668)  38(34)      77.7   62.6
KFFBF17CA  14-12     1786(1786)  33(33)      54.0   54.0
LFFBF08DA  16-08     2650(3050)  42(35)      87.7   63.1
LFFBF47CA  16-01     2250(2250)  37(37)      61.3   61.3
JFFBF67CA  14-01     2950(3150)  46(42)      74.6   63.6
KFFBF57CA  15-02     3055(3445)  48(40)      85.6   63.6
KFFBF67CA  15-02     2934(3374)  45(39)      87.5   64.5
IFFBF67CA  13-07     2100(2550)  38(35)      72.4   55.0
JFFBF17CA  14-09     2180(2360)  43(40)      59.6   50.6
OFFBF08CA  19-03     1830(1830)  36(36)      50.3   50.3
MFFBF28DA  17-06     2150(2350)  41(35)      68.0   52.6
HFFBF17CA  12-11     2660(2660)  39(39)      68.0   68.0
KFFBF77CA  15-03     3080(3270)  48(44)      74.6   63.6
KFFBF97CA  15-05     2510(2645)  39(36)      72.5   64.9
PFFBF18DA  20-01     2960(3360)  40(32)      103.6  74.7
IFFBF27CA  12-12     1870(1870)  35(35)      53.6   53.6
MFFBF87CA  17-10     3060(3480)  41(37)      94.4   74.6
PFFBF28DA  20-01     2490(2850)  36(30)      95.3   69.9
KFFBF97CA  15-04     3037(3362)  47(42)      80.0   64.9
MFFBF97CA  17-01     2500(2500)  32(32)      77.8   77.8
IFFBF18CA  13-07     2940(2940)  47(47)      62.9   62.9
KFFBF28CA  15-05     3176(3516)  46(38)      91.4   69.4
JFFBF38CA  14-07     2300(2500)  46(42)      59.4   50.4
JFFBF97CA  14-03     2950(2950)  49(49)      60.0   60.0
KFFBF08CA  15-02     2740(2950)  42(39)      76.0   64.5
NFFBF48CA  18-01     2795(3005)  41(40)      76.0   68.5
NFFBF98DA  18-07     2060(2260)  37(35)      63.7   55.0
IFFBF96CA  13-04     2410(2730)  42(34)      81.3   57.2
IFFBF57CA  13-05     2168(2333)  41(38)      60.8   52.4
IFFBF27CA  13-10     2000(2000)  38(38)      52.2   52.2
JFFBF28CA  14-02     2360(2750)  44(36)      77.2   53.8
OFFBF47CA  19-07     3440(3810)  46(37)      103.3  74.6
MFFBF47CA  17-09     3340(3790)  43(39)      96.9   77.0
JFFBF57CA  14-05     2788(2988)  47(44)      67.8   58.9
JFFBF77CA  14-07     2300(2480)  46(42)      59.5   50.5
LFFBF27CA  16-09     3100(3580)  43(37)      97.9   72.9
HFFBF07CA  12-11     3087(3327)  45(37)      89.7   68.0
MFFBF57CA  17-10     2300(2700)  37(35)      77.7   62.6
IFFBF17CA  13-09     2851(3221)  44(40)      80.0   64.9
MFFBF38CA  17-07     3100(3530)  46(43)      83.0   67.9
HFFBF27CA  12-10     3175(3175)  49(49)      64.4   64.4
JFFBF08CA  14-07     3492(3952)  48(40)      97.9   72.9
JFFBF57CA  13-12     2728(3188)  47(44)      73.1   58.0
KFFBF18CA  15-03     3260(3700)  49(40)      92.2   67.2
LFFBF87CA  15-09     2600(2770)  43(38)      73.0   60.7
IFFBF37CA  13-04     2360(2490)  41(35)      71.2   57.2
HFFBF37CA  12-10     2122(2302)  41(39)      59.7   51.6
IFFBF57CA  13-01     2275(2410)  43(35)      68.0   52.6
HFFBF47CA  12-11     3160(3400)  48(39)      87.5   65.7
LFFBF28CA  16-05     2100(2100)  34(34)      62.2   62.2
HFFBF57CA  12-11     2960(3200)  43(35)      90.3   68.5
OFFBF98CA  19-08     2180(2180)  36(36)      60.9   60.9
LFFBF77CA  15-08     2585(2925)  48(38)      77.5   54.0
JFFBF77CA  14-07     3833(4263)  51(41)      103.5  74.8
HFFBF28CA  12-08     2398(2398)  39(39)      60.9   60.9
